index,dataset_variant,config_name,model_class,scaler,resampling,pca,mean,std,count,generalization_score,complexity_score
469,IMPUTED,config_random80,LogisticRegression,robust,undersample,on,0.459077456033232,0.17982112998602415,1680,0.27925632604720785,3
1239,STRICT,config_random80,RandomForestClassifier,maxabs,none,off,0.413011726231182,0.13402240954360778,1296,0.2789893166875742,2
727,IMPUTED,config_strat80,SVC,standard,none,on,0.4462813052842538,0.16832727249911786,840,0.277954032785136,3
703,IMPUTED,config_strat80,RandomForestClassifier,standard,smote,off,0.43683624745379224,0.1589203850798943,5760,0.2779158623738979,3
227,IMPUTED,config_loo,KNeighborsClassifier,robust,smoteenn,on,0.33866540715988064,0.06078349374106458,896,0.2778819134188161,4
968,STRICT,config_loo,KNeighborsClassifier,standard,smoteenn,off,0.3240271537009403,0.04636649364203489,128,0.27766066005890544,3
1319,STRICT,config_strat80,KNeighborsClassifier,none,none,off,0.400511674665338,0.12288939537518753,320,0.2776222792901505,1
1240,STRICT,config_random80,RandomForestClassifier,maxabs,smote,off,0.4157824703606807,0.13816103638485538,5472,0.27762143397582534,3
1204,STRICT,config_random80,LogisticRegression,standard,none,on,0.4586522259730614,0.18109391988760312,840,0.2775583060854583,2
133,IMPUTED,config_kfold,QuadraticDiscriminantAnalysis,standard,none,on,0.34050210952880305,0.06296667067507827,840,0.2775354388537248,3
309,IMPUTED,config_loo,QuadraticDiscriminantAnalysis,robust,smote,on,0.32793180472311606,0.05096967540130455,168,0.2769621293218115,4
714,IMPUTED,config_strat80,SVC,none,none,off,0.4298981701292321,0.15316812868525229,120,0.27673004144397984,1
229,IMPUTED,config_loo,KNeighborsClassifier,robust,undersample,on,0.3402947554915148,0.0636708401046234,448,0.27662391538689135,4
372,IMPUTED,config_random80,GaussianNB,maxabs,undersample,off,0.41486648235967927,0.13825459423133998,120,0.27661188812833926,3
384,IMPUTED,config_random80,GaussianNB,robust,undersample,off,0.41486648235967927,0.13825459423133998,120,0.27661188812833926,3
392,IMPUTED,config_random80,GaussianNB,standard,undersample,off,0.41486648235967927,0.13825459423133998,120,0.27661188812833926,3
377,IMPUTED,config_random80,GaussianNB,none,undersample,off,0.41486648235967927,0.13825459423134,120,0.27661188812833926,2
1178,STRICT,config_random80,LinearDiscriminantAnalysis,standard,smote,on,0.4633375256984895,0.18681385708211276,560,0.2765236686163768,3
42,IMPUTED,config_kfold,KNeighborsClassifier,robust,smote,off,0.3303891664271871,0.05404851458252459,2556,0.2763406518446625,3
315,IMPUTED,config_loo,QuadraticDiscriminantAnalysis,standard,none,on,0.35275546000877567,0.07696267937766915,42,0.2757927806311065,3
393,IMPUTED,config_random80,GaussianNB,standard,undersample,on,0.40817044057964075,0.1332399282045957,840,0.27493051237504507,4
1252,STRICT,config_random80,RandomForestClassifier,standard,smote,off,0.4125763028292524,0.13778654786677044,5472,0.2747897549624819,3
130,IMPUTED,config_kfold,QuadraticDiscriminantAnalysis,robust,undersample,off,0.34776618114128705,0.07306508507747761,240,0.27470109606380944,3
430,IMPUTED,config_random80,LinearDiscriminantAnalysis,none,none,off,0.4498384544339616,0.17557225435225304,20,0.27426620008170854,0
422,IMPUTED,config_random80,LinearDiscriminantAnalysis,maxabs,none,off,0.4498384544339616,0.17557225435225304,20,0.27426620008170854,1
434,IMPUTED,config_random80,LinearDiscriminantAnalysis,robust,none,off,0.4498384544339616,0.17557225435225304,20,0.27426620008170854,1
442,IMPUTED,config_random80,LinearDiscriminantAnalysis,standard,none,off,0.4498384544339616,0.17557225435225304,20,0.27426620008170854,1
574,IMPUTED,config_strat80,GaussianNB,standard,smoteenn,off,0.42571004885341546,0.15157983438209907,240,0.27413021447131636,3
138,IMPUTED,config_kfold,QuadraticDiscriminantAnalysis,standard,undersample,off,0.34314982861097415,0.06912278022357103,240,0.2740270483874031,3
751,STRICT,config_kfold,GaussianNB,robust,smoteenn,on,0.35576421991702795,0.08193793909143848,3024,0.27382628082558946,4
894,STRICT,config_kfold,SVC,maxabs,smoteenn,off,0.41706179621300515,0.14347426045188497,900,0.27358753576112016,3
239,IMPUTED,config_loo,LinearDiscriminantAnalysis,maxabs,none,on,0.3547269723089518,0.08143762984357411,14,0.27328934246537767,2
443,IMPUTED,config_random80,LinearDiscriminantAnalysis,standard,none,on,0.4392606821187257,0.16616899471510346,140,0.2730916874036222,2
231,IMPUTED,config_loo,KNeighborsClassifier,standard,none,on,0.3357974263242188,0.0628658611848104,224,0.27293156513940836,3
338,IMPUTED,config_loo,SVC,maxabs,none,off,0.3444483445268923,0.07174609593481268,5,0.27270224859207964,2
1248,STRICT,config_random80,RandomForestClassifier,robust,smote,off,0.41036903065395114,0.13785859163670583,5472,0.2725104390172453,3
437,IMPUTED,config_random80,LinearDiscriminantAnalysis,robust,smote,on,0.46372185966762486,0.19153530350054054,560,0.2721865561670843,3
1269,STRICT,config_random80,SVC,robust,smote,off,0.4444652226767553,0.17238370950498602,456,0.2720815131717693,3
1158,STRICT,config_random80,LinearDiscriminantAnalysis,maxabs,smote,on,0.4593625545131968,0.18811601672759343,560,0.27124653778560337,3
201,IMPUTED,config_loo,GaussianNB,robust,undersample,on,0.34737508873585415,0.07639382763761546,30,0.2709812610982387,4
892,STRICT,config_kfold,SVC,maxabs,smote,off,0.4206773202623237,0.1496973522607405,900,0.2709799680015832,3
1273,STRICT,config_random80,SVC,robust,undersample,off,0.4294248488531123,0.15848643233834733,228,0.2709384165147649,3
1340,STRICT,config_strat80,LinearDiscriminantAnalysis,maxabs,none,on,0.3859832134008263,0.11543669055688524,140,0.2705465228439411,2
854,STRICT,config_kfold,QuadraticDiscriminantAnalysis,none,none,off,0.3228093721692363,0.05244169552418411,120,0.2703676766450522,1
1165,STRICT,config_random80,LinearDiscriminantAnalysis,none,smoteenn,off,0.40264000533004535,0.13230411540208226,80,0.2703358899279631,1
691,IMPUTED,config_strat80,RandomForestClassifier,maxabs,smote,off,0.43103510328213596,0.16073142727317036,5760,0.2703036760089656,3
421,IMPUTED,config_random80,KNeighborsClassifier,standard,undersample,on,0.4277561968221009,0.1575011964020246,4480,0.27025500042007633,4
45,IMPUTED,config_kfold,KNeighborsClassifier,robust,smoteenn,on,0.3325397657180731,0.06260133571466255,17892,0.26993843000341056,4
695,IMPUTED,config_strat80,RandomForestClassifier,none,smote,off,0.431612894556551,0.16169622175513035,5760,0.2699166728014206,2
680,IMPUTED,config_strat80,QuadraticDiscriminantAnalysis,robust,undersample,off,0.40038525255201507,0.13063675175396547,120,0.2697485007980496,3
1281,STRICT,config_random80,SVC,standard,undersample,off,0.43618301763481016,0.16650793934567162,228,0.2696750782891385,3
1029,STRICT,config_loo,QuadraticDiscriminantAnalysis,maxabs,none,on,0.31019802566486987,0.040565832796245774,14,0.2696321928686241,3
1388,STRICT,config_strat80,LogisticRegression,standard,none,on,0.43809210790177583,0.16849563544515173,840,0.2695964724566241,2
1308,STRICT,config_strat80,GaussianNB,standard,smoteenn,on,0.42698955396240457,0.15763653924579166,1680,0.2693530147166129,4
575,IMPUTED,config_strat80,GaussianNB,standard,smoteenn,on,0.4266763719512287,0.15744283014771296,1680,0.2692335418035158,4
320,IMPUTED,config_loo,QuadraticDiscriminantAnalysis,standard,undersample,off,0.33431159305538444,0.06508733764171903,12,0.2692242554136654,3
1052,STRICT,config_loo,QuadraticDiscriminantAnalysis,standard,smoteenn,off,0.3467244465187383,0.07791217249661665,24,0.26881227402212166,3
1241,STRICT,config_random80,RandomForestClassifier,maxabs,smoteenn,off,0.391397749223914,0.12288376687818311,5472,0.2685139823457309,3
862,STRICT,config_kfold,QuadraticDiscriminantAnalysis,robust,smoteenn,off,0.3540719520930506,0.08573210930688355,480,0.26833984278616707,3
619,IMPUTED,config_strat80,LinearDiscriminantAnalysis,robust,none,on,0.456968860872552,0.18889332755798707,140,0.2680755333145649,2
1310,STRICT,config_strat80,GaussianNB,standard,undersample,on,0.4115991602944282,0.14355323109979612,840,0.2680459291946321,4
505,IMPUTED,config_random80,QuadraticDiscriminantAnalysis,standard,undersample,on,0.40819001788665105,0.1407039627272624,840,0.2674860551593886,4
267,IMPUTED,config_loo,LogisticRegression,maxabs,none,on,0.39057505442479534,0.12317492178715633,70,0.267400132637639,2
966,STRICT,config_loo,KNeighborsClassifier,standard,smote,off,0.3132371326246011,0.04584801832065669,128,0.2673891143039444,3
779,STRICT,config_kfold,KNeighborsClassifier,robust,smoteenn,on,0.35075687127702765,0.08355165448293904,17920,0.2672052167940886,4
1180,STRICT,config_random80,LinearDiscriminantAnalysis,standard,smoteenn,on,0.4307144981771602,0.16362267563225555,560,0.2670918225449046,3
1047,STRICT,config_loo,QuadraticDiscriminantAnalysis,robust,undersample,on,0.3620674994109392,0.09572549108685544,84,0.2663420083240837,4
