dataset_variant,config_name,model_class,scaler,resampling,pca,mean,std,median,min,max,count,range,cv_ratio
STRICT,config_kfold,LogisticRegression,standard,smoteenn,off,0.4877855940602911,0.04806253234359219,0.49178990929674604,0.3467887458817555,0.6120520057604245,960,0.265263259878669,0.09853208649218857
IMPUTED,config_random80,LogisticRegression,robust,smote,off,0.48745765259910784,0.14134046712594844,0.48378865373226965,0.1326193317473155,0.7679476477883045,480,0.635328316040989,0.2899543506442576
STRICT,config_kfold,LogisticRegression,robust,smote,off,0.48739460115742667,0.04253399354363425,0.49156373679253595,0.351241118836653,0.593424985985897,960,0.242183867149244,0.08726808512574379
IMPUTED,config_strat80,SVC,robust,smoteenn,off,0.48721911049680117,0.16374804521789074,0.5096447293679518,0.0897303170096942,0.92783056924063,480,0.8381002522309358,0.33608707394691945
STRICT,config_loo,LogisticRegression,robust,smoteenn,off,0.48699667021997123,0.03519506573922849,0.48758791515595,0.4257671236823037,0.5533630834502732,48,0.1275959597679695,0.07226962295929303
IMPUTED,config_random80,LogisticRegression,standard,smote,off,0.48667264158313217,0.13273772288769106,0.4938291646584311,0.2,0.7679476477883045,480,0.5679476477883045,0.2727453971028637
STRICT,config_loo,LinearDiscriminantAnalysis,maxabs,none,off,0.4862652153958905,0.0,0.4862652153958905,0.4862652153958905,0.4862652153958905,2,0.0,0.0
STRICT,config_loo,LinearDiscriminantAnalysis,none,none,off,0.4862652153958905,0.0,0.4862652153958905,0.4862652153958905,0.4862652153958905,2,0.0,0.0
STRICT,config_loo,LinearDiscriminantAnalysis,robust,none,off,0.4862652153958905,0.0,0.4862652153958905,0.4862652153958905,0.4862652153958905,2,0.0,0.0
STRICT,config_loo,LinearDiscriminantAnalysis,standard,none,off,0.4862652153958905,0.0,0.4862652153958905,0.4862652153958905,0.4862652153958905,2,0.0,0.0
STRICT,config_kfold,LogisticRegression,standard,undersample,off,0.4862111717375059,0.04335565661210727,0.4828513247175382,0.3515011655742059,0.5796794007443364,480,0.22817823517013053,0.08917042456505705
IMPUTED,config_random80,LinearDiscriminantAnalysis,standard,undersample,on,0.4858477460494008,0.1479603465680774,0.49543964320306977,0.1488652989562745,0.8320502943378436,280,0.6831849953815691,0.3045405639342677
IMPUTED,config_kfold,SVC,standard,undersample,on,0.4856213754879207,0.04688491526635307,0.4846876647211292,0.2734140387141692,0.6306820287303001,2842,0.3572679900161309,0.09654623464472947
IMPUTED,config_random80,LogisticRegression,standard,smoteenn,on,0.48553964873555056,0.1353332019610758,0.4729696357398171,0.0436435780471984,0.8563488385776753,3360,0.8127052605304769,0.27872739602937163
STRICT,config_kfold,LinearDiscriminantAnalysis,standard,undersample,on,0.4852912706146399,0.05443615618864238,0.48465118419564035,0.3248662517696908,0.6201971916330489,560,0.29533093986335807,0.11217213142881576
IMPUTED,config_kfold,LogisticRegression,robust,smote,off,0.4849927356430681,0.031149005809058522,0.48580575730752246,0.3899387675209707,0.5770105144172917,960,0.187071746896321,0.06422571622182549
IMPUTED,config_loo,SVC,standard,smote,on,0.4847538888707273,0.03103426777777313,0.48760661964655005,0.4099533220514466,0.5372686088107569,230,0.1273152867593103,0.06402066799313343
IMPUTED,config_random80,SVC,standard,smote,on,0.4846699838043335,0.1546920294513254,0.4730684412529962,0.1136584015456127,0.8563488385776753,3360,0.7426904370320626,0.3191698157932063
IMPUTED,config_strat80,GaussianNB,none,undersample,off,0.48437022478064234,0.1407387409273339,0.5034847357280339,0.1488652989562745,0.6908212560386473,120,0.5419559570823728,0.29056026511759786
