dataset_variant,config_name,model_class,scaler,resampling,pca,mean,std,count,generalization_score,range,cv_ratio
IMPUTED,config_kfold,LogisticRegression,standard,undersample,off,0.4712409249270952,0.043891582064864404,480,0.4273493428622308,0.2244678823859355,0.09314042932849007
IMPUTED,config_loo,SVC,none,smoteenn,off,0.4451935026654349,0.018700000941435282,34,0.42649350172399964,0.07583384062561438,0.04200420902253918
IMPUTED,config_kfold,SVC,standard,undersample,off,0.46682683010613246,0.04130032566068362,406,0.4255265044454488,0.21432609522152424,0.08847033417358219
STRICT,config_kfold,LogisticRegression,none,undersample,off,0.47038830341589455,0.044887355885162565,480,0.425500947530732,0.22429378924862536,0.09542617356595991
IMPUTED,config_loo,LogisticRegression,none,none,off,0.4425652475008837,0.017096208046975307,12,0.4254690394539084,0.0380037143051426,0.03862980237042035
STRICT,config_loo,GaussianNB,robust,smoteenn,off,0.44411449192801306,0.018673090394543956,9,0.4254414015334691,0.03734618078908791,0.042045667803992076
STRICT,config_kfold,SVC,robust,undersample,off,0.4731789436111308,0.04880542996356249,450,0.42437351364756826,0.25834330110904713,0.10314370625010716
STRICT,config_loo,LinearDiscriminantAnalysis,robust,smote,off,0.45307266262965795,0.028782869293698558,8,0.4242897933359594,0.07532660733166952,0.06352815269551079
STRICT,config_kfold,SVC,robust,smoteenn,off,0.4769606295309425,0.05318097804372791,900,0.4237796514872146,0.29118039193784717,0.11149972293526132
STRICT,config_kfold,LogisticRegression,robust,none,off,0.4667116042614253,0.04297748282265657,240,0.4237341214387687,0.2018396705079033,0.09208573866653427
STRICT,config_loo,LinearDiscriminantAnalysis,maxabs,smote,off,0.44535343010125683,0.022096367225956193,8,0.4232570628753006,0.0523988648522557,0.04961535206079428
STRICT,config_loo,SVC,none,smoteenn,off,0.4526216475307098,0.029572181688760087,28,0.42304946584194975,0.08606615460076411,0.06533532333261557
STRICT,config_kfold,SVC,standard,smoteenn,off,0.47369244034238067,0.05116876603999316,900,0.4225236743023875,0.28113640460842,0.10802107376467489
IMPUTED,config_loo,SVC,standard,smoteenn,off,0.4508014760029654,0.02842197074312069,39,0.4223795052598447,0.10076134955447097,0.06304764348849144
IMPUTED,config_loo,LogisticRegression,none,smoteenn,off,0.44605078094939365,0.023945982051806685,48,0.42210479889758695,0.08754368114707517,0.053684430281321395
IMPUTED,config_loo,SVC,maxabs,smote,off,0.4539767500661275,0.03198411167358441,32,0.4219926383925431,0.11724175272621862,0.07045319318428866
IMPUTED,config_kfold,LogisticRegression,robust,smoteenn,off,0.46022289859798765,0.03849126056621613,960,0.4217316380317715,0.2189035060550284,0.08363612650190812
STRICT,config_kfold,SVC,standard,undersample,off,0.4700545978845223,0.04870828143596696,450,0.42134631644855536,0.2643920217193375,0.10362260395957888
IMPUTED,config_loo,LogisticRegression,robust,none,off,0.45148145541723245,0.03037774987954469,12,0.4211037055376878,0.09140525183277798,0.06728460164874628
STRICT,config_loo,RandomForestClassifier,standard,smote,off,0.45623780253688345,0.03673040057686561,260,0.41950740196001784,0.21244294234033423,0.08050713985695261
IMPUTED,config_kfold,LogisticRegression,standard,smoteenn,off,0.45918310962632186,0.04034530968229911,960,0.41883779994402276,0.21299488606092415,0.08786322675311746
STRICT,config_loo,LinearDiscriminantAnalysis,standard,smote,off,0.4525033225933266,0.034073585245332445,8,0.41842973734799416,0.07202195020497104,0.07530018796338216
STRICT,config_kfold,LinearDiscriminantAnalysis,none,none,off,0.4656832690403102,0.047510276547285714,40,0.4181729924930245,0.20665690968903389,0.1020227259725175
STRICT,config_kfold,LinearDiscriminantAnalysis,maxabs,none,off,0.4656832690403102,0.047510276547285714,40,0.4181729924930245,0.20665690968903389,0.1020227259725175
STRICT,config_kfold,LinearDiscriminantAnalysis,standard,none,off,0.4656832690403102,0.047510276547285714,40,0.4181729924930245,0.20665690968903389,0.1020227259725175
STRICT,config_kfold,LinearDiscriminantAnalysis,robust,none,off,0.4656832690403102,0.047510276547285714,40,0.4181729924930245,0.20665690968903389,0.1020227259725175
IMPUTED,config_loo,SVC,standard,undersample,on,0.45644247534682725,0.03839602416224341,118,0.41804645118458383,0.16845384538590036,0.08412018213920218
STRICT,config_kfold,LinearDiscriminantAnalysis,standard,smoteenn,on,0.47229450772842824,0.05445093482069793,1120,0.41784357290773033,0.32998930473918225,0.11529021390188916
STRICT,config_loo,LogisticRegression,maxabs,undersample,on,0.4544755828532494,0.03711091494965046,154,0.41736466790359894,0.1835139018487727,0.08165656495045105
STRICT,config_loo,RandomForestClassifier,maxabs,smote,off,0.44640348777129085,0.029286165915188796,259,0.41711732185610206,0.14144233125963268,0.06560469780691586
IMPUTED,config_kfold,LogisticRegression,none,none,off,0.45448317901015656,0.03797575140330219,240,0.4165074276068544,0.21563059089802766,0.08355810106330366
IMPUTED,config_kfold,LogisticRegression,none,undersample,off,0.452818963836491,0.03652628951534944,480,0.4162926743211416,0.2031226910305619,0.0806642222001523
STRICT,config_kfold,LinearDiscriminantAnalysis,none,smote,off,0.46274693861381816,0.046642079691155094,160,0.4161048589226631,0.2268840155057002,0.10079392384717617
STRICT,config_loo,SVC,standard,smote,on,0.4811350631365751,0.06582841357759682,233,0.4153066495589783,0.793800853535415,0.13681899038588827
IMPUTED,config_loo,LinearDiscriminantAnalysis,standard,smoteenn,on,0.45622074966046283,0.04167463261882932,56,0.4145461170416335,0.16125282441948924,0.09134751685416587
STRICT,config_loo,LogisticRegression,none,smoteenn,off,0.45913040196313076,0.04470074930504905,48,0.41442965265808174,0.14602193911498035,0.0973595935139983
IMPUTED,config_loo,LinearDiscriminantAnalysis,maxabs,smoteenn,off,0.4266062055313924,0.012807671180867357,8,0.41379853435052505,0.032800733123965586,0.030022233654369304
STRICT,config_kfold,LinearDiscriminantAnalysis,standard,smote,off,0.4642408504962849,0.05097918054039542,160,0.4132616699558895,0.24399403554239374,0.10981192302637181
STRICT,config_kfold,LinearDiscriminantAnalysis,robust,smote,off,0.465362946495119,0.05232505805912587,160,0.41303788843599315,0.24492296838261574,0.11243924436445153
IMPUTED,config_kfold,SVC,none,smoteenn,off,0.4599876711941655,0.04774566353745174,812,0.41224200765671376,0.29608802611231155,0.10379770269385721
IMPUTED,config_loo,SVC,none,smote,off,0.4367553875605782,0.025159299866751146,31,0.41159608769382705,0.08984201883605192,0.05760501320263975
IMPUTED,config_loo,SVC,standard,smote,off,0.44871787795203893,0.03772362268873306,35,0.41099425526330585,0.1264666896651741,0.0840698009647058
STRICT,config_loo,SVC,robust,smote,off,0.44048673085188433,0.030102380038472296,25,0.410384350813412,0.09111821844687229,0.06833890314983032
STRICT,config_loo,SVC,standard,none,off,0.4419817103478267,0.03186721138611267,12,0.41011449896171404,0.09834806835617499,0.07210074679568551
IMPUTED,config_kfold,LinearDiscriminantAnalysis,standard,smoteenn,on,0.45985245688460463,0.049903439880763005,1120,0.4099490170038416,0.2571244113555061,0.10852054639187407
STRICT,config_kfold,LinearDiscriminantAnalysis,maxabs,smote,off,0.46406762019905246,0.05421680374671316,160,0.4098508164523393,0.2723073875826898,0.11682953385857421
IMPUTED,config_loo,LogisticRegression,standard,undersample,off,0.44694806983198593,0.03732396741800137,24,0.40962410241398456,0.12082649079153746,0.08350851013190856
IMPUTED,config_kfold,LogisticRegression,none,smoteenn,off,0.45370305570719793,0.04437586679176009,960,0.40932718891543785,0.21206942109548238,0.09780817262204759
IMPUTED,config_kfold,SVC,robust,smoteenn,off,0.452729170402389,0.04353454048683317,800,0.4091946299155559,0.2884015117382666,0.09616022852722157
IMPUTED,config_kfold,LinearDiscriminantAnalysis,maxabs,undersample,on,0.4597895104055952,0.0507932989799406,560,0.40899621142565457,0.25006535943082836,0.110470765057546
STRICT,config_loo,LinearDiscriminantAnalysis,standard,smoteenn,on,0.45740808654377735,0.04874588067730326,56,0.40866220586647406,0.17408960308406396,0.10656978333206166
STRICT,config_kfold,LogisticRegression,none,smoteenn,off,0.45396592480732834,0.04535966518236705,960,0.4086062596249613,0.2722975519035481,0.09991865623310504
STRICT,config_kfold,SVC,none,smote,off,0.4574778873816402,0.049050122134016175,900,0.40842776524762403,0.28052481933101864,0.10721856397202705
IMPUTED,config_kfold,LinearDiscriminantAnalysis,robust,none,off,0.4462043739441858,0.038861479718432075,40,0.4073428942257537,0.14305248740003124,0.0870934531074165
IMPUTED,config_kfold,LinearDiscriminantAnalysis,maxabs,none,off,0.4462043739441858,0.038861479718432075,40,0.4073428942257537,0.14305248740003124,0.0870934531074165
IMPUTED,config_kfold,LinearDiscriminantAnalysis,standard,none,off,0.4462043739441858,0.038861479718432075,40,0.4073428942257537,0.14305248740003124,0.0870934531074165
IMPUTED,config_kfold,LinearDiscriminantAnalysis,none,none,off,0.4462043739441858,0.038861479718432075,40,0.4073428942257537,0.14305248740003124,0.0870934531074165
IMPUTED,config_kfold,SVC,standard,smoteenn,off,0.4517388626644432,0.04504184812911416,812,0.406697014535329,0.24776755664895322,0.09970771136104746
STRICT,config_loo,GaussianNB,maxabs,undersample,off,0.4057891363515058,0.0,3,0.4057891363515058,0.0,0.0
STRICT,config_loo,RandomForestClassifier,robust,smote,off,0.43599290177005673,0.03185758985124912,259,0.4041353119188076,0.17822315581627118,0.07306905622066952
STRICT,config_kfold,GaussianNB,maxabs,undersample,off,0.43488389348256973,0.031086349171215586,216,0.4037975443113541,0.11750794249124308,0.07148195101518869
STRICT,config_kfold,GaussianNB,none,undersample,off,0.43488389348256973,0.031086349171215586,216,0.4037975443113541,0.11750794249124308,0.07148195101518869
STRICT,config_kfold,GaussianNB,robust,undersample,off,0.43488389348256973,0.031086349171215586,216,0.4037975443113541,0.11750794249124308,0.07148195101518869
STRICT,config_kfold,GaussianNB,standard,undersample,off,0.43488389348256973,0.031086349171215586,216,0.4037975443113541,0.11750794249124308,0.07148195101518869
IMPUTED,config_kfold,LogisticRegression,robust,none,off,0.4541887671662211,0.050481554462356644,240,0.40370721270386445,0.27878564449315935,0.11114663794378193
STRICT,config_loo,GaussianNB,robust,undersample,off,0.41850833856590974,0.01642041945114361,10,0.40208791911476616,0.031798005536009755,0.03923558490473805
IMPUTED,config_kfold,LinearDiscriminantAnalysis,maxabs,undersample,off,0.4432058339162709,0.04169091055541179,80,0.4015149233608591,0.16424187996748962,0.0940667007629866
IMPUTED,config_kfold,LinearDiscriminantAnalysis,standard,undersample,off,0.4432058339162709,0.04169091055541179,80,0.4015149233608591,0.16424187996748962,0.0940667007629866
IMPUTED,config_kfold,LinearDiscriminantAnalysis,robust,undersample,off,0.4432058339162709,0.04169091055541179,80,0.4015149233608591,0.16424187996748962,0.0940667007629866
IMPUTED,config_kfold,LinearDiscriminantAnalysis,none,undersample,off,0.4432058339162709,0.04169091055541179,80,0.4015149233608591,0.16424187996748962,0.0940667007629866
STRICT,config_loo,LinearDiscriminantAnalysis,maxabs,undersample,off,0.4530489987145031,0.05292968308546369,4,0.4001193156290394,0.09167690033254211,0.11682993061600004
STRICT,config_loo,LinearDiscriminantAnalysis,standard,undersample,off,0.4530489987145031,0.05292968308546369,4,0.4001193156290394,0.09167690033254211,0.11682993061600004
STRICT,config_loo,LinearDiscriminantAnalysis,robust,undersample,off,0.4530489987145031,0.05292968308546369,4,0.4001193156290394,0.09167690033254211,0.11682993061600004
STRICT,config_loo,LinearDiscriminantAnalysis,none,undersample,off,0.4530489987145031,0.05292968308546369,4,0.4001193156290394,0.09167690033254211,0.11682993061600004
IMPUTED,config_loo,SVC,robust,undersample,off,0.4400931164000177,0.04024510063577798,20,0.39984801576423973,0.12269305570899341,0.09144678509172055
STRICT,config_loo,LinearDiscriminantAnalysis,robust,smoteenn,off,0.42144907814028804,0.021764095631146143,8,0.3996849825091419,0.04961725173206044,0.05164110389607143
IMPUTED,config_loo,SVC,standard,undersample,off,0.4399304403841808,0.04166325947348158,14,0.3982671809106992,0.12072675404409272,0.09470419786614004
IMPUTED,config_loo,LinearDiscriminantAnalysis,standard,smoteenn,off,0.41480720618983974,0.01667321176013366,8,0.3981339944297061,0.04189313021846347,0.04019508704606023
STRICT,config_loo,QuadraticDiscriminantAnalysis,none,undersample,off,0.4126991793078623,0.015658920397472582,12,0.39704025891038974,0.05003795774792841,0.03794269817481623
IMPUTED,config_kfold,LogisticRegression,standard,none,on,0.4655195345779941,0.06933846130851536,1680,0.39618107326947877,0.36610705981615077,0.148948553515316
IMPUTED,config_loo,SVC,maxabs,smote,on,0.4439977450141852,0.04824990588510344,219,0.3957478391290818,0.21748992717616228,0.10867151112121506
STRICT,config_loo,LinearDiscriminantAnalysis,maxabs,smoteenn,on,0.4322270071836347,0.037063023473029415,56,0.3951639837106053,0.1470057398718172,0.08574897648004426
