dataset_variant,config_name,model_key,scaler,resampling,pca,mcc__mean,mcc__std,mcc__count,mcc__median,balanced_accuracy__mean,balanced_accuracy__std,balanced_accuracy__count,balanced_accuracy__median,f1__mean,f1__std,f1__count,f1__median,accuracy__mean,accuracy__std,accuracy__count,accuracy__median,precision__mean,precision__std,precision__count,precision__median,recall__mean,recall__std,recall__count,recall__median
IMPUTED,config_strat80,LogisticRegression,robust,none,off,0.5224685003558674,0.15549585703003999,120,0.5266597241998389,0.7570048309178744,0.08766541449518785,120,0.7705314009661836,0.6346572746712066,0.12447661643245768,120,0.6428571428571429,0.784375,0.07149091292081883,120,0.78125,0.6610680295510017,0.18485824285731822,120,0.625,0.6944444444444444,0.2283242516612499,120,0.6666666666666666
IMPUTED,config_strat80,SVC_linear,standard,undersample,off,0.5224225017277089,0.16935231446164714,240,0.5266597241998389,0.7772946859903381,0.09141839474812591,240,0.7814009661835748,0.6592099788704613,0.1160891416362384,240,0.6666666666666666,0.7661458333333333,0.08623405548657953,240,0.75,0.579974501977211,0.13093669704563476,240,0.5634920634920635,0.8027777777777777,0.17806955368241467,240,0.8888888888888888
IMPUTED,config_strat80,LinearDiscriminantAnalysis_svd,standard,undersample,on,0.5216701196271125,0.15107405358858772,280,0.5266597241998389,0.7797446514837819,0.08067802666953794,280,0.7922705314009661,0.6621026290126362,0.10228353522540509,280,0.6666666666666666,0.7674107142857143,0.07486092883577279,280,0.75,0.5737753534121293,0.11177236064675108,280,0.5505050505050505,0.807936507936508,0.15101342518207403,280,0.8888888888888888
IMPUTED,config_strat80,LogisticRegression,robust,smote,on,0.5216424435047916,0.17161922467206062,3360,0.5266597241998389,0.7781199677938808,0.08898505962529385,3360,0.7922705314009661,0.6602123044171406,0.1203211243478671,3360,0.6666666666666666,0.7682291666666666,0.07969984728305038,3360,0.75,0.578403645963354,0.13347837865283046,3360,0.5384615384615384,0.8007275132275132,0.16878028591377445,3360,0.8888888888888888
IMPUTED,config_strat80,SVC_linear,robust,smote,on,0.5200391070120586,0.2038718775802259,3360,0.5691908489504616,0.7741632160110421,0.10517137378163881,3360,0.7922705314009661,0.6534422823849223,0.15874037943033167,3360,0.6923076923076923,0.7775297619047619,0.08817161888860045,3360,0.78125,0.5893447767990974,0.1681150779216284,3360,0.5714285714285714,0.766468253968254,0.20486611163956975,3360,0.7777777777777778
IMPUTED,config_strat80,SVC_linear,standard,smoteenn,on,0.5175944338511156,0.15993097386739788,3360,0.5235477814280327,0.7763644467448815,0.08421326380732384,3360,0.7826086956521738,0.657350273330467,0.10575371144629656,3360,0.6666666666666666,0.7582403273809524,0.08200778597545097,3360,0.75,0.5671456842280731,0.12634497839800587,3360,0.5384615384615384,0.8177910052910053,0.16431814233237332,3360,0.8888888888888888
IMPUTED,config_strat80,LogisticRegression,standard,undersample,off,0.5167795132853895,0.15249524693655483,240,0.5266597241998389,0.7799919484702094,0.08187289879462938,240,0.7922705314009661,0.6571740893613867,0.10324527461649491,240,0.6666666666666666,0.7526041666666666,0.0750461126256594,240,0.75,0.5500159017825426,0.10807778126780562,240,0.5333333333333333,0.8425925925925927,0.158498646778768,240,0.8888888888888888
IMPUTED,config_strat80,LinearDiscriminantAnalysis_svd,robust,smote,on,0.5120118830493534,0.17582776607125603,560,0.5266597241998389,0.7699016563146998,0.09069337918137231,560,0.7801932367149759,0.6521952622723178,0.12755332392889088,560,0.6666666666666666,0.7713169642857143,0.08010866517330352,560,0.75,0.5878141639124058,0.14020917509867561,560,0.5384615384615384,0.7666666666666666,0.17498300138610468,560,0.7777777777777778
IMPUTED,config_strat80,LogisticRegression,standard,none,on,0.510882564213638,0.15545442498230339,840,0.5096447293679518,0.7501380262249827,0.09162073418699965,840,0.7705314009661836,0.6218693617117923,0.13372845588528384,840,0.64,0.7800595238095238,0.0724915495778787,840,0.78125,0.6597098403218482,0.18424183686540715,840,0.6,0.6817460317460317,0.24000276425581618,840,0.6666666666666666
IMPUTED,config_strat80,LogisticRegression,standard,smoteenn,on,0.5099104619912755,0.16603640655530705,3360,0.5204358386562267,0.7748102139406486,0.08733184587986517,3360,0.7826086956521738,0.6543906876286261,0.10773284658732317,3360,0.6666666666666666,0.7472098214285714,0.08738471898225952,3360,0.75,0.5498606873125891,0.12352588671591919,3360,0.5294117647058824,0.8378968253968254,0.15253367621886732,3360,0.8888888888888888
IMPUTED,config_kfold,LogisticRegression,standard,smote,on,0.508581475241017,0.039667698750164376,6720,0.5082247470285293,0.7719483630298848,0.022071613600841235,6720,0.771969696969697,0.6466277684261484,0.027686999976177455,6720,0.6467693623736159,0.7671223958333333,0.01817552606240197,6720,0.76875,0.5694656778056477,0.03076420200007694,6720,0.5673809523809524,0.7820641534391535,0.05423664538267383,6720,0.79
IMPUTED,config_strat80,LogisticRegression,none,undersample,off,0.5085263904947632,0.14245863122741165,240,0.5266597241998389,0.7746578099838969,0.0801667823841725,240,0.7922705314009661,0.6492755641206981,0.09986391161572274,240,0.6666666666666666,0.7591145833333334,0.05919557415741202,240,0.75,0.5541340054710797,0.08477994463708838,240,0.5333333333333333,0.8101851851851851,0.17918771056696656,240,0.8888888888888888
STRICT,config_kfold,LogisticRegression,standard,smote,on,0.5077580049338007,0.0541000804673684,6720,0.5138175328433825,0.7680294398062255,0.030234351256729682,6720,0.7714231601731601,0.6520918782843952,0.03863499012256619,6720,0.6573593073593074,0.7652326462194073,0.023723804643770368,6720,0.7690476190476191,0.5819924567499064,0.03764290218411793,6720,0.5840734265734266,0.7752281746031746,0.06283349374446087,6720,0.7805555555555556
STRICT,config_loo,LogisticRegression,standard,smote,on,0.5069502270076881,0.03437659365078782,336,0.5081533951691829,0.7746932892653917,0.01952980476485481,336,0.7762803234501348,0.65870571523068,0.022576431316059565,336,0.6601941747572816,0.7674147361647362,0.016892852313310204,336,0.7668918918918919,0.565482636344225,0.024587996098478337,336,0.5652769324406574,0.7915249433106576,0.04779618962261554,336,0.8095238095238095
IMPUTED,config_strat80,LinearDiscriminantAnalysis_svd,maxabs,undersample,off,0.5049628739650528,0.14345398215547478,40,0.5278622408751513,0.7705314009661836,0.07770007035602462,40,0.7910628019323671,0.6504292424196852,0.09762014320800655,40,0.6678260869565218,0.7625,0.06890280222056397,40,0.765625,0.5665295402911502,0.10569071434269467,40,0.554945054945055,0.7888888888888889,0.1546984936307524,40,0.8333333333333333
IMPUTED,config_strat80,LinearDiscriminantAnalysis_svd,none,undersample,off,0.5049628739650528,0.14345398215547478,40,0.5278622408751513,0.7705314009661836,0.07770007035602462,40,0.7910628019323671,0.6504292424196852,0.09762014320800655,40,0.6678260869565218,0.7625,0.06890280222056397,40,0.765625,0.5665295402911502,0.10569071434269467,40,0.554945054945055,0.7888888888888889,0.1546984936307524,40,0.8333333333333333
