dataset_variant,config_name,model_class,scaler,resampling,pca,mean,std,median,min,max,count,range,cv_ratio
STRICT,config_kfold,LogisticRegression,robust,undersample,off,0.48322894545798134,0.04050004414584269,0.4822729397200566,0.3273843327767649,0.5772308540501842,480,0.24984652127341928,0.0838112959219748
IMPUTED,config_kfold,LogisticRegression,standard,none,off,0.4719788948952768,0.0408771098212151,0.47171155145174604,0.3763383650422657,0.5766327993581379,240,0.20029443431587224,0.08660791883561861
IMPUTED,config_kfold,SVC,standard,undersample,off,0.46682683010613246,0.04130032566068362,0.4695437500460961,0.3435652757751868,0.557891370996711,406,0.21432609522152424,0.08847033417358219
IMPUTED,config_kfold,SVC,robust,undersample,off,0.4689322536253534,0.04136485579717065,0.4700438334263404,0.372167980136222,0.5721813514743659,400,0.2000133713381439,0.08821072868708771
IMPUTED,config_loo,LinearDiscriminantAnalysis,standard,smoteenn,on,0.45622074966046283,0.04167463261882932,0.4582647523849861,0.3832059252792875,0.5444587496987767,56,0.16125282441948924,0.09134751685416587
IMPUTED,config_kfold,LogisticRegression,robust,undersample,off,0.4722998969915135,0.04174805929674135,0.46822704694452477,0.3749544593846753,0.5713725488862583,480,0.19641808950158302,0.08839311539695614
IMPUTED,config_kfold,LinearDiscriminantAnalysis,standard,smote,on,0.4986839001644267,0.04186084827552785,0.496978335424441,0.3626884968693857,0.606464750133872,1120,0.24377625326448632,0.08394265036774887
STRICT,config_kfold,LogisticRegression,robust,smote,off,0.48739460115742667,0.04253399354363425,0.49156373679253595,0.351241118836653,0.593424985985897,960,0.242183867149244,0.08726808512574379
STRICT,config_kfold,SVC,robust,smote,off,0.47442144187870394,0.04294263271086927,0.4785507207687393,0.3393804220836726,0.5815847688282305,900,0.24220434674455793,0.09051579233184928
STRICT,config_kfold,LogisticRegression,robust,none,off,0.4667116042614253,0.04297748282265657,0.4613645769383563,0.3522178627972703,0.5540575333051736,240,0.2018396705079033,0.09208573866653427
STRICT,config_kfold,LogisticRegression,standard,none,off,0.48001573336606695,0.04306750888109295,0.47744723261744976,0.3855007065387749,0.5804545769617376,240,0.19495387042296275,0.08972103597331266
STRICT,config_kfold,LogisticRegression,standard,undersample,off,0.4862111717375059,0.04335565661210727,0.4828513247175382,0.3515011655742059,0.5796794007443364,480,0.22817823517013053,0.08917042456505705
IMPUTED,config_kfold,SVC,robust,smoteenn,off,0.452729170402389,0.04353454048683317,0.45726305105199044,0.2686156945196742,0.5570172062579408,800,0.2884015117382666,0.09616022852722157
STRICT,config_kfold,LogisticRegression,standard,smote,off,0.4894080341431255,0.04363082694237805,0.4944241116711019,0.3594246152648573,0.5855412894142763,960,0.226116674149419,0.08915020575575264
IMPUTED,config_kfold,LogisticRegression,standard,undersample,on,0.4917201861121118,0.043633028962565226,0.48950372998794,0.3544057610841188,0.6237424754016644,3360,0.2693367143175456,0.08873548451927278
IMPUTED,config_kfold,LogisticRegression,standard,undersample,off,0.4712409249270952,0.043891582064864404,0.46549169360700393,0.3691032357158719,0.5935711181018074,480,0.2244678823859355,0.09314042932849007
STRICT,config_loo,SVC,standard,smoteenn,on,0.49012569405888157,0.04392685855052226,0.4977837854963974,0.395058305668927,0.6001348448710581,231,0.20507653920213104,0.08962365997740383
IMPUTED,config_kfold,LogisticRegression,none,smoteenn,off,0.45370305570719793,0.04437586679176009,0.4536616657713926,0.3465339185434035,0.5586033396388859,960,0.21206942109548238,0.09780817262204759
STRICT,config_loo,LogisticRegression,none,smoteenn,off,0.45913040196313076,0.04470074930504905,0.4587398801526479,0.3863611644241803,0.5323831035391606,48,0.14602193911498035,0.0973595935139983
STRICT,config_kfold,LogisticRegression,none,undersample,off,0.47038830341589455,0.044887355885162565,0.4703110612385599,0.3479779205195173,0.5722717097681427,480,0.22429378924862536,0.09542617356595991
IMPUTED,config_kfold,SVC,standard,smoteenn,off,0.4517388626644432,0.04504184812911416,0.4571453949606583,0.3046769617315458,0.552444518380499,812,0.24776755664895322,0.09970771136104746
IMPUTED,config_kfold,SVC,standard,smote,on,0.49621246720986717,0.045239885861325366,0.4963295060749318,0.3708005353739096,0.6392221271759924,5684,0.26842159180208275,0.09117039343187582
STRICT,config_kfold,LogisticRegression,none,smoteenn,off,0.45396592480732834,0.04535966518236705,0.4533239436047837,0.3194872126586359,0.591784764562184,960,0.2722975519035481,0.09991865623310504
IMPUTED,config_kfold,LogisticRegression,standard,smoteenn,on,0.4818792570678166,0.046118900634082916,0.4820286366396349,0.3397580294085656,0.6301246523717019,6720,0.2903666229631363,0.09570634128290033
STRICT,config_kfold,LogisticRegression,robust,smoteenn,off,0.4934696553637871,0.046582999207792436,0.4962545574102615,0.3474602756742164,0.625921413107905,960,0.27846113743368855,0.09439891328971652
STRICT,config_kfold,LinearDiscriminantAnalysis,none,smote,off,0.46274693861381816,0.046642079691155094,0.46879579156368745,0.3344594315192893,0.5613434470249895,160,0.2268840155057002,0.10079392384717617
STRICT,config_kfold,LinearDiscriminantAnalysis,maxabs,undersample,on,0.47547914709483813,0.04676898228451113,0.48242836913471654,0.3695765588375151,0.5873955236924978,560,0.2178189648549827,0.09836179477116519
IMPUTED,config_kfold,SVC,standard,undersample,on,0.4856213754879207,0.04688491526635307,0.4846876647211292,0.2734140387141692,0.6306820287303001,2842,0.3572679900161309,0.09654623464472947
STRICT,config_kfold,LinearDiscriminantAnalysis,maxabs,smote,on,0.478305202259643,0.04720069959938335,0.47915637589201726,0.3483161235723625,0.6154176440013125,1120,0.26710152042894997,0.09868322438558998
